   340 | AZOPARDO                                                                            | 8181 |            1
   341 | AZUCENA                                                                             | 7005 |            1
   342 | AZUL                                                                                | 7300 |            1
   343 | BACACAY                                                                             | 6516 |            1
   344 | BADANO                                                                              | 6403 |            1
   345 | BAHIA BLANCA                                                                        | 8000 |            1
   346 | BAHIA BLANCA NOROESTE                                                               | 8000 |            1
   347 | BAHIA SAN BLAS                                                                      | 8506 |            1
   348 | BAIGORRITA                                                                          | 6013 |            1
   349 | BAJO HONDO                                                                          | 8115 |            1
   350 | BALCARCE                                                                            | 7620 |            1
   351 | BALNEARIO (PARADA)                                                                  | 8109 |            1
   352 | BALNEARIO AGUAS VERDES                                                              | 7112 |            1
   353 | BALNEARIO CASCALLARES                                                               | 1744 |            1
   354 | BALNEARIO CLAROMECO                                                                 | 7505 |            1
   355 | BALNEARIO MAR CHIQUITA                                                              | 7609 |            1
   356 | BALNEARIO OCEANO                                                                    | 7511 |            1
   357 | BALNEARIO POPULAR                                                                   | 1802 |            1
   358 | BALNEARIO PUNTA LARA                                                                | 1931 |            1
   359 | BALNEARIO RETA                                                                      | 7511 |            1
   360 | BALNEARIO SAUCE GRANDE                                                              | 8153 |            1
   361 | BALSA                                                                               | 6070 |            1
   362 | BANDERALO                                                                           | 6244 |            1
   363 | BANFIELD                                                                            | 1828 |            1
   364 | BARADERO                                                                            | 2942 |            1
   365 | BARKER                                                                              | 7005 |            1
   366 | BARRIENTOS                                                                          | 7247 |            1
   367 | BARRIO 25 DE MAYO                                                                   | 2700 |            1
   368 | BARRIO 9 DE JULIO (FLORENCIO VARELA-PDO. FLORENCIO VARELA)                          | 1888 |            1
   369 | BARRIO 9 DE JULIO (JOSE C. PAZ-PDO. GRAL. SARMIENTO)                                | 1665 |            1
   370 | BARRIO 9 DE JULIO (MAR DEL PLATA-PDO. GRAL. PUEYRREDON)                             | 7600 |            1
   371 | BARRIO 9 DE JULIO (SAN NICOLAS-PDO. S. NICOLAS)                                     | 2900 |            1
   372 | BARRIO A.T.E.                                                                       | 1804 |            1
   373 | BARRIO ACEVEDO                                                                      | 2700 |            1
   374 | BARRIO AERONAUTICO                                                                  | 1714 |            1
   375 | BARRIO ALFAR                                                                        | 7600 |            1
   376 | BARRIO ALFREDO L. PALACIOS                                                          | 1714 |            1
   377 | BARRIO ALMAFUERTE (BAHIA BLANCA-PDO. BAHIA BLANCA)                                  | 8000 |            1
   378 | BARRIO ALMAFUERTE (GLEW-PDO. ALMTE. BROWN)                                          | 1856 |            1
   379 | BARRIO ALMAFUERTE (TABLADA-PDO. LA MATANZA)                                         | 1766 |            1
   380 | BARRIO ALTO VERDE (LLAVALLOL-PDO. LOMAS DE ZAMORA)                                  | 1836 |            1
   381 | BARRIO ALTO VERDE (SAN NICOLAS-PDO. SAN NICOLAS)                                    | 2900 |            1
   382 | BARRIO ALTOS DE JOSE C. PAZ                                                         | 1665 |            1
   383 | BARRIO ALTOS DE LAFERRERE                                                           | 1757 |            1
   384 | BARRIO ALTOS DE TRISTAN SUAREZ                                                      | 1806 |            1
   385 | BARRIO ANTARTIDA ARGENTINA                                                          | 1665 |            1
   386 | BARRIO ARCO IRIS                                                                    | 1742 |            1
   387 | BARRIO ARGITAL                                                                      | 1665 |            1
   388 | BARRIO ARZENO                                                                       | 1852 |            1
   389 | BARRIO ASUNCION                                                                     | 1847 |            1
   390 | BARRIO AVELLANEDA (PDO. BAHIA BLANCA)                                               | 8000 |            1
   391 | BARRIO AVIACION                                                                     | 1708 |            1
   392 | BARRIO BAIRES                                                                       | 1611 |            1
